latitude,longitude,host_response_rate,host_identity_verified,price
37.75418395,-122.4065138,N/A,t,$49.00 
37.75416621,-122.4215336,100%,t,$220.00 
37.75850584,-122.4061523,N/A,t,$100.00 
37.75654875,-122.4220251,100%,t,$117.00 
37.76005055,-122.4213524,N/A,f,$200.00 
37.75949488,-122.4248737,100%,t,$162.00 
37.76099687,-122.4131237,100%,t,$230.00 
37.75054282,-122.4165585,100%,t,$173.00 
37.75628818,-122.4087377,N/A,t,$600.00 
37.75724642,-122.4093147,100%,t,$250.00 
37.74932935,-122.4107925,100%,t,$300.00 
37.7513531,-122.4176588,100%,f,$189.00 
37.75199246,-122.4042105,100%,t,$130.00 
37.76142933,-122.4193501,N/A,t,$90.00 
37.76652079,-122.4246601,100%,t,$95.00 
37.75995514,-122.4241064,100%,f,$325.00 
37.75870167,-122.42124,100%,t,$119.00 
37.76147949,-122.4157135,N/A,t,$134.00 
37.75939066,-122.4211674,100%,t,$490.00 
37.74961782,-122.4181314,N/A,f,$140.00 
37.75958581,-122.4100011,90%,t,$185.00 
37.75560551,-122.4067193,N/A,t,$550.00 
37.7505213,-122.4073568,100%,t,$113.00 
37.76832743,-122.4250571,100%,t,$115.00 
37.76888719,-122.4240599,N/A,t,$155.00 
37.75134306,-122.4226501,N/A,t,$45.00 
37.75506955,-122.4168171,80%,t,$169.00 
37.7622065,-122.4198954,100%,t,$186.00 
37.753852,-122.4111577,N/A,f,$77.00 
37.76251893,-122.4242846,100%,t,$250.00 
37.76531007,-122.4246905,N/A,t,$235.00 
37.76362666,-122.4253853,N/A,t,$80.00 
37.7681406,-122.4253676,100%,t,$300.00 
37.75866765,-122.42388,100%,t,$200.00 
37.76148205,-122.4092539,100%,f,$200.00 
37.75399609,-122.4177063,97%,t,$125.00 
37.75328433,-122.4118579,N/A,f,$40.00 
37.75028261,-122.4156194,N/A,t,$500.00 
37.75813182,-122.4141177,100%,t,$79.00 
37.75754497,-122.4201252,100%,t,$115.00 
37.76249605,-122.422603,100%,t,$575.00 
37.7580424,-122.4211011,100%,t,$65.00 
37.75788359,-122.4075305,N/A,t,"$2,000.00 "
37.75456441,-122.4125264,N/A,f,$51.00 
37.75239754,-122.4244804,100%,t,$159.00 
37.76911001,-122.4119345,N/A,f,$120.00 
37.76862344,-122.4244366,100%,f,$100.00 
37.76066203,-122.4208268,N/A,t,$50.00 
37.75826018,-122.4083304,N/A,t,$80.00 
37.75596136,-122.4095302,N/A,t,$75.00 
37.75942336,-122.4075424,100%,f,$155.00 
37.75993231,-122.4213667,100%,f,$250.00 
37.77021195,-122.4228986,100%,f,$55.00 
37.75065685,-122.4234918,100%,t,$450.00 
37.74944922,-122.4095556,N/A,t,$250.00 
37.75375109,-122.4252011,N/A,f,$150.00 
37.75641542,-122.4128513,100%,t,$300.00 
37.76772249,-122.422152,71%,t,$170.00 
37.75151485,-122.4245018,100%,t,$190.00 
37.75440053,-122.412507,100%,t,$230.00 
37.75309747,-122.4199679,100%,t,$115.00 
37.75780405,-122.4214434,80%,t,$95.00 
37.74970235,-122.4066375,100%,t,$90.00 
37.76645745,-122.4253543,100%,t,$95.00 
37.75089762,-122.4148136,N/A,t,$350.00 
37.75110865,-122.4187323,100%,t,$130.00 
37.75526258,-122.4249664,100%,t,"$4,000.00 "
37.75691789,-122.4111644,100%,t,$349.00 
37.76096715,-122.4231305,93%,t,$115.00 
37.75849371,-122.4157999,100%,t,$170.00 
37.74825404,-122.4176816,100%,t,$115.00 
37.75267808,-122.4075329,92%,t,$133.00 
37.76455721,-122.4239801,N/A,f,$232.00 
37.751588,-122.4187695,100%,f,$100.00 
37.75618418,-122.421447,100%,t,$200.00 
37.7569887,-122.4085638,100%,t,$450.00 
37.76313587,-122.4079654,100%,t,$80.00 
37.74907405,-122.4124016,N/A,t,$99.00 
37.75083547,-122.4234114,100%,t,$145.00 
37.75857822,-122.4222351,80%,t,$215.00 
37.75913346,-122.4196755,100%,t,$185.00 
37.75746793,-122.4125947,N/A,t,$350.00 
37.76171887,-122.4234831,100%,t,$175.00 
37.76867194,-122.4178576,100%,t,$165.00 
37.76379548,-122.425448,N/A,t,$149.00 
37.77017333,-122.4215716,N/A,t,$240.00 
37.76025251,-122.4166307,100%,t,$206.00 
37.75104087,-122.4186658,70%,t,$575.00 
37.76764528,-122.4239505,100%,t,$120.00 
37.75122694,-122.4183758,N/A,f,$74.00 
37.76667538,-122.4170325,97%,t,$105.00 
37.76054446,-122.421676,100%,t,$59.00 
37.75110161,-122.4241432,100%,t,$150.00 
37.76045876,-122.4190438,90%,t,$149.00 
37.75311615,-122.4086315,N/A,f,$100.00 
37.75731078,-122.4095373,100%,t,$75.00 
37.75174324,-122.4162526,0%,f,$299.00 
37.76777714,-122.4243382,100%,t,$68.00 
37.76121341,-122.4086907,N/A,t,$99.00 
37.75297177,-122.4128058,100%,t,$211.00 
37.75833813,-122.4229128,100%,t,$125.00 
37.76040329,-122.415501,N/A,t,$85.00 
37.75753955,-122.4106128,100%,t,$97.00 
37.75271742,-122.4093401,100%,t,$117.00 
37.76059363,-122.4185532,N/A,f,$500.00 
37.74851144,-122.4172331,N/A,f,$65.00 
37.75842278,-122.4119598,N/A,t,$318.00 
37.75996482,-122.4179394,N/A,f,$150.00 
37.76403193,-122.4248225,N/A,t,$75.00 
37.74964663,-122.4175526,N/A,t,$100.00 
37.76945631,-122.4227033,75%,t,$285.00 
37.7682995,-122.4253431,N/A,f,$375.00 
37.7644722,-122.418478,N/A,t,$89.00 
37.76896906,-122.4108756,100%,t,$150.00 
37.7594018,-122.4181344,N/A,t,$125.00 
37.75991582,-122.4191283,N/A,f,$127.00 
37.75446376,-122.4224758,100%,t,$75.00 
37.74984557,-122.4239428,N/A,f,"$1,500.00 "
37.7614406,-122.4213018,80%,t,$139.00 
37.75327879,-122.4118102,N/A,t,$69.00 
37.75017197,-122.41734,100%,t,$65.00 
37.74936883,-122.4223664,N/A,t,$110.00 
37.7660067,-122.4183305,N/A,t,$148.00 
37.74866918,-122.4213935,N/A,t,$165.00 
37.76864954,-122.42457,100%,t,$189.00 
37.76601194,-122.4229685,94%,t,$150.00 
37.75845746,-122.4086654,100%,t,$250.00 
37.757922,-122.4141182,100%,f,$250.00 
37.75877365,-122.4108145,N/A,t,$120.00 
37.74979106,-122.4087655,100%,t,$99.00 
37.76573017,-122.4209976,N/A,t,$158.00 
37.76058002,-122.4254066,100%,t,$100.00 
37.7673056,-122.4254201,100%,t,$125.00 
37.75884751,-122.4059452,N/A,t,$80.00 
37.76845419,-122.4216172,100%,t,$69.00 
37.75696962,-122.4076487,67%,t,$85.00 
37.74847017,-122.417238,100%,t,$200.00 
37.75597989,-122.4152521,100%,t,$115.00 
37.77037944,-122.4222524,N/A,t,$95.00 
37.76725835,-122.4223948,100%,t,$194.00 
37.76006538,-122.4186564,100%,f,$215.00 
37.75454377,-122.4111001,100%,t,$155.00 
37.75469124,-122.4226532,N/A,t,$800.00 
37.75239589,-122.4129407,100%,t,$45.00 
37.7674576,-122.4232362,100%,t,$120.00 
37.75796429,-122.4197255,N/A,t,$150.00 
37.75495392,-122.4168309,100%,t,$110.00 
37.76400671,-122.4175282,N/A,t,$400.00 
37.74991628,-122.4082173,100%,t,$135.00 
37.75243517,-122.4152028,N/A,t,$100.00 
37.75219564,-122.4170061,100%,f,$100.00 
37.75465229,-122.4101758,100%,t,$200.00 
37.75767012,-122.4174079,100%,t,$70.00 
37.75742313,-122.4236494,100%,t,$145.00 
37.76374505,-122.4124976,100%,f,$180.00 
37.75750508,-122.4235015,N/A,t,$200.00 
37.76173049,-122.4256579,N/A,t,"$1,750.00 "
37.75522798,-122.4179171,N/A,t,$450.00 
37.75886312,-122.423116,N/A,t,$300.00 
37.75631937,-122.404779,100%,t,$150.00 
37.74852106,-122.4212581,100%,f,$126.00 
37.75574133,-122.4115589,N/A,t,$100.00 
37.76012321,-122.4250197,N/A,t,$99.00 
37.75300435,-122.403943,100%,t,$85.00 
37.75298744,-122.4242477,N/A,t,$150.00 
37.77002888,-122.4237134,100%,t,$255.00 
37.75112586,-122.4230647,100%,f,$150.00 
37.75498191,-122.4193609,N/A,t,$65.00 
37.75992683,-122.408211,N/A,f,$300.00 
37.74905921,-122.4182666,67%,t,$700.00 
37.7690889,-122.4239827,N/A,t,$34.00 
37.75695181,-122.4116516,100%,t,$240.00 
37.75300727,-122.4040496,100%,t,$175.00 
37.75646678,-122.4164391,100%,t,$275.00 
37.75349384,-122.4195855,100%,t,$600.00 
37.75317766,-122.4244942,95%,t,$42.00 
37.76052871,-122.4090437,N/A,t,$225.00 
37.76108383,-122.425571,N/A,t,$149.00 
37.76848691,-122.4206638,100%,t,$125.00 
37.74981207,-122.4150952,93%,f,$50.00 
37.75769932,-122.4200553,100%,t,$115.00 
37.75781911,-122.4108124,100%,t,$165.00 
37.75603488,-122.4112037,100%,t,$500.00 
37.76673598,-122.4240911,N/A,t,$120.00 
37.74947188,-122.4185612,N/A,t,$300.00 
37.74923178,-122.4190466,100%,t,$80.00 
37.76117256,-122.4190939,N/A,f,$108.00 
37.7572341,-122.4150385,100%,f,$650.00 
37.76873486,-122.4245731,100%,t,$100.00 
37.76952227,-122.4228934,100%,t,$250.00 
37.75123663,-122.4104629,100%,t,$550.00 
37.75862868,-122.4117893,100%,t,$126.00 
37.76485673,-122.4251007,94%,t,$341.00 
37.74961855,-122.4209382,N/A,f,$75.00 
37.76867917,-122.4225395,67%,t,$275.00 
37.76740115,-122.4224661,71%,t,$95.00 
37.75186531,-122.4194602,N/A,t,$140.00 
37.76097556,-122.4215808,100%,t,$199.00 
37.7615163,-122.4082127,N/A,t,$120.00 
37.76215982,-122.420623,N/A,t,$200.00 
37.75040546,-122.4110787,100%,t,$250.00 
37.75783386,-122.4130874,96%,t,$33.00 
37.75908236,-122.418195,100%,t,$120.00 
37.75958899,-122.4218546,N/A,t,$250.00 
37.7532297,-122.4248993,100%,t,$300.00 
37.75121152,-122.4077631,N/A,t,$151.00 
37.76277859,-122.4240051,100%,t,$119.00 
37.7501035,-122.414981,N/A,f,$76.00 
37.75136488,-122.4089685,N/A,t,$100.00 
37.76070044,-122.4076222,100%,t,$98.00 
37.75374293,-122.4034303,N/A,t,$65.00 
37.76443752,-122.4074289,91%,t,$175.00 
37.76724432,-122.4212892,100%,t,$79.00 
37.76151096,-122.4220454,90%,f,$80.00 
37.76490477,-122.4239036,100%,t,$75.00 
37.75023463,-122.4149721,100%,t,$52.00 
37.75874295,-122.413272,100%,t,$250.00 
37.7615991,-122.4216489,N/A,f,"$1,000.00 "
37.76539394,-122.4183993,100%,t,$95.00 
37.77142456,-122.4234505,N/A,t,"$1,000.00 "
37.75967033,-122.4147865,N/A,t,$325.00 
37.76207429,-122.4063294,100%,t,$650.00 
37.75756728,-122.4193947,97%,t,$65.00 
37.76847404,-122.4251584,100%,t,$125.00 
37.75975848,-122.4071105,100%,t,$325.00 
37.75986511,-122.41754,100%,t,$75.00 
37.75862522,-122.4196387,100%,t,$78.00 
37.77109003,-122.4240191,100%,t,$399.00 
37.75708418,-122.4080119,67%,t,$207.00 
37.7615023,-122.4211684,100%,t,$320.00 
37.76456493,-122.4138323,100%,t,$101.00 
37.76317552,-122.4070776,100%,t,$99.00 
37.75570083,-122.4232314,100%,t,$300.00 
37.7487178,-122.4199096,100%,t,$202.00 
37.75608406,-122.4225961,60%,t,$71.00 
37.76174179,-122.4175331,N/A,t,$107.00 
37.75523738,-122.4219086,100%,t,$196.00 
37.76239584,-122.4065616,100%,t,$70.00 
37.75813893,-122.4143756,N/A,t,$170.00 
37.75753408,-122.410455,100%,f,$225.00 
37.7666713,-122.4239593,N/A,t,$225.00 
37.76602128,-122.4165001,100%,t,$99.00 
37.75503446,-122.4190692,N/A,t,$65.00 
37.7623101,-122.4197122,N/A,t,$300.00 
37.74946151,-122.4091694,N/A,t,$255.00 
37.76299792,-122.4217049,100%,f,$95.00 
37.75249635,-122.4099389,N/A,t,$75.00 
37.76450813,-122.4164842,N/A,t,$90.00 
37.75420874,-122.4177143,N/A,f,$105.00 
37.76720776,-122.4171204,96%,t,$50.00 
37.75171999,-122.4138625,100%,t,$463.00 
37.75559219,-122.4227863,92%,t,$195.00 
37.75228981,-122.4159339,100%,t,$200.00 
37.76028596,-122.4234149,N/A,f,$138.00 
37.76649136,-122.4065846,N/A,t,$120.00 
37.7656085,-122.4200594,90%,t,$239.00 
37.75135009,-122.4235024,100%,t,$140.00 
37.75315747,-122.4051128,N/A,f,$195.00 
37.75043561,-122.413185,N/A,t,$160.00 
37.76635223,-122.4211437,100%,t,$129.00 
37.75658265,-122.4169822,N/A,t,$260.00 
37.76766368,-122.424679,100%,t,$200.00 
37.75701828,-122.4212952,100%,t,$140.00 
37.75924925,-122.4230581,100%,t,$300.00 
37.76264179,-122.4199421,N/A,t,$168.00 
37.76235785,-122.4238459,90%,t,$575.00 
37.76164834,-122.4205553,90%,t,$350.00 
37.76563516,-122.4174603,97%,t,$135.00 
37.75162534,-122.4177249,100%,f,$100.00 
37.76249149,-122.4202518,90%,t,$97.00 
37.76746906,-122.4241287,100%,t,$139.00 
37.76654759,-122.4225179,100%,t,$110.00 
37.76933455,-122.4226493,N/A,t,$300.00 
37.75522009,-122.4154076,N/A,t,$120.00 
37.74880339,-122.4210351,N/A,t,$220.00 
37.76742485,-122.423743,N/A,t,$110.00 
37.75347337,-122.4193957,100%,t,$295.00 
37.7568687,-122.4146032,96%,t,$55.00 
37.75366029,-122.4228086,100%,f,$219.00 
37.75945121,-122.4233564,100%,f,$325.00 
37.7611278,-122.4221764,N/A,t,$190.00 
37.76130382,-122.4087676,N/A,t,$75.00 
37.75072511,-122.4149275,93%,t,$109.00 
37.76514597,-122.4160758,100%,t,$99.00 
37.75029025,-122.4215714,100%,t,$160.00 
37.75446574,-122.4209953,N/A,f,$100.00 
37.75206557,-122.4220245,N/A,t,$49.00 
37.76346934,-122.4237031,N/A,t,"$1,200.00 "
37.74994293,-122.4172164,100%,t,$189.00 
37.76521165,-122.4165293,100%,t,$105.00 
37.75015862,-122.4128977,100%,t,$195.00 
37.75742589,-122.4085392,100%,t,$190.00 
37.76051646,-122.4096362,100%,t,$350.00 
37.76728815,-122.4156191,50%,f,$65.00 
37.7567545,-122.4092142,N/A,t,$100.00 
37.76891477,-122.4179894,100%,t,$95.00 
37.75912096,-122.4243675,100%,t,$200.00 
37.76557474,-122.426239,100%,t,$125.00 
37.76998771,-122.4226806,100%,t,$245.00 
37.75284831,-122.4215144,N/A,f,$139.00 
37.76222242,-122.4078375,100%,t,$189.00 
37.75649047,-122.4255064,N/A,t,$250.00 
37.76200238,-122.4205167,100%,t,$185.00 
37.7552773,-122.4104774,100%,f,$375.00 
37.76992689,-122.4228783,N/A,t,$118.00 
37.76094674,-122.4209833,100%,t,$130.00 
37.76010961,-122.4185262,100%,t,$327.00 
37.74874493,-122.4182491,100%,t,$80.00 
37.75412286,-122.4062341,100%,t,$175.00 
37.75304967,-122.4117532,100%,t,$70.00 
37.75548251,-122.4252203,100%,t,$61.00 
37.76760458,-122.4189063,N/A,t,$99.00 
37.76066624,-122.4246374,100%,f,$250.00 
37.75514538,-122.4196644,0%,t,$135.00 
37.7701263,-122.4216067,100%,t,$175.00 
37.76513014,-122.4241644,N/A,t,$85.00 
37.77082415,-122.4228335,N/A,f,$325.00 
37.75570344,-122.4115061,100%,t,$250.00 
37.75356104,-122.4107865,N/A,t,$275.00 
37.76830528,-122.420741,100%,t,$70.00 
37.75279882,-122.4166892,N/A,t,$75.00 
37.74994308,-122.4164356,100%,t,$250.00 
37.75114043,-122.4078588,100%,t,$240.00 
37.76098575,-122.4218298,100%,t,$195.00 
37.75717107,-122.409813,N/A,t,$60.00 
37.75610669,-122.4186619,100%,t,$290.00 
37.76510651,-122.4064693,N/A,t,$66.00 
37.75368076,-122.4205052,90%,t,$249.00 
37.75192025,-122.4136513,100%,t,$140.00 
37.75176801,-122.4154344,100%,t,$160.00 
37.75762489,-122.4193257,97%,t,$99.00 
37.75776588,-122.4195127,N/A,t,$60.00 
37.75628493,-122.4234923,100%,f,$150.00 
37.75629056,-122.4251775,90%,t,$450.00 
37.76789362,-122.4200106,N/A,f,$300.00 
37.75815049,-122.4209271,N/A,t,$175.00 
37.75870508,-122.4092541,N/A,t,$800.00 
37.75362764,-122.4240429,100%,t,$199.00 
37.7531555,-122.4212498,100%,t,$950.00 
37.75195465,-122.423666,100%,t,$195.00 
37.75277277,-122.4150602,N/A,t,$120.00 
37.7508266,-122.4107258,100%,t,$95.00 
37.76845124,-122.422279,100%,t,$129.00 
37.76312154,-122.4258955,N/A,t,$200.00 
37.75397923,-122.4120546,60%,t,$55.00 
37.7509893,-122.4123912,100%,t,$180.00 
37.75125908,-122.41959,N/A,t,$182.00 
37.75442495,-122.4225268,N/A,t,$450.00 
37.75392028,-122.4250217,90%,t,$232.00 
37.76715056,-122.4175619,100%,t,$189.00 
37.75725607,-122.4125369,92%,t,$110.00 
37.75678598,-122.4117116,100%,t,$225.00 
37.76258743,-122.4246365,100%,f,$425.00 
37.76181574,-122.4214326,100%,t,$199.00 
37.75857146,-122.4090347,83%,t,$115.00 
37.76506038,-122.4252117,N/A,t,$45.00 
37.75465206,-122.4108748,N/A,t,$99.00 
37.74901877,-122.4248465,100%,f,$120.00 
37.7665383,-122.4239299,100%,t,$224.00 
37.76022472,-122.4204972,N/A,t,$155.00 
37.76807164,-122.424595,N/A,t,$650.00 
37.76512659,-122.4104002,0%,t,$100.00 
37.75829739,-122.419475,100%,t,$220.00 
37.75870533,-122.4165946,N/A,t,$375.00 
37.75797189,-122.4096018,100%,t,$245.00 
37.76282268,-122.4186276,N/A,f,$350.00 
37.7592379,-122.4245943,67%,f,$95.00 
37.75951725,-122.4219182,N/A,t,"$1,500.00 "
37.75773211,-122.4104305,96%,f,$115.00 
37.75653661,-122.419275,100%,t,$89.00 
37.76258853,-122.4174764,82%,t,$170.00 
37.76055316,-122.4208676,86%,f,$190.00 
