id,listing_url,name,room_type,neighbourhood,latitude,longitude,price,availability_30,calendar_last_scraped,number_of_reviews,review_scores_accuracy
10988680,https://www.airbnb.com/rooms/10988680,"Simple, new, clean accommodation",Private room,Mission District,37.75418395,-122.4065138,$49.00 ,0,4/2/2017,1,10
8053481,https://www.airbnb.com/rooms/8053481,Spacious 2BR/2BATH w/Shared Kitchen,Entire home/apt,Mission District,37.75416621,-122.4215336,$220.00 ,0,4/2/2017,9,10
14011173,https://www.airbnb.com/rooms/14011173,Private room - Victorian House in the Mission,Private room,Mission District,37.75850584,-122.4061523,$100.00 ,0,4/2/2017,2,10
16142131,https://www.airbnb.com/rooms/16142131,Spacious 1BR in the Mission District,Entire home/apt,Mission District,37.75654875,-122.4220251,$117.00 ,0,4/2/2017,2,10
9080622,https://www.airbnb.com/rooms/9080622,Edwardian flat in heart of Mission,Private room,Mission District,37.76005055,-122.4213524,$200.00 ,0,4/2/2017,0,
936209,https://www.airbnb.com/rooms/936209,Sunny Room w/Roofdeck @Dolores Park,Private room,Mission District,37.75949488,-122.4248737,$162.00 ,17,4/2/2017,63,10
7048973,https://www.airbnb.com/rooms/7048973,Boutique Condo in the Mission,Entire home/apt,Mission District,37.76099687,-122.4131237,$230.00 ,4,4/2/2017,7,9
7998215,https://www.airbnb.com/rooms/7998215,Pretty & Relaxing Bedroom with Bathroom,Private room,,37.75054282,-122.4165585,$173.00 ,6,4/2/2017,50,10
12815115,https://www.airbnb.com/rooms/12815115,Spacious Mission Condo,Entire home/apt,Mission District,37.75628818,-122.4087377,$600.00 ,0,4/2/2017,0,
10406646,https://www.airbnb.com/rooms/10406646,Bright Skylight-Filled 2 Bedroom in the Mission,Entire home/apt,Mission District,37.75724642,-122.4093147,$250.00 ,8,4/2/2017,41,10
4558566,https://www.airbnb.com/rooms/4558566,Charming Mission Victorian 3bd/2ba,Entire home/apt,Mission District,37.74932935,-122.4107925,$300.00 ,0,4/2/2017,23,10
2771688,https://www.airbnb.com/rooms/2771688,2B Central Mission District,Entire home/apt,,37.7513531,-122.4176588,$189.00 ,20,4/2/2017,132,9
5020057,https://www.airbnb.com/rooms/5020057,Sunny garden room on 24th,Private room,,37.75199246,-122.4042105,$130.00 ,11,4/2/2017,115,10
