id,review_scores_rating,review_scores_accuracy,review_scores_cleanliness
10988680,100,10,10
8053481,96,10,10
14011173,90,10,8
16142131,100,10,10
9080622,,,
936209,96,10,9
7048973,89,9,9
7998215,100,10,10
12815115,,,
10406646,92,10,10
4558566,93,10,9
2771688,92,9,9
5020057,98,10,10
15151013,,,
4925354,94,9,9
13863669,91,9,10
5394755,95,10,10
8861480,100,9,9
14139656,100,10,10
7802522,100,10,10
15470227,94,10,9
10756717,,,
1117756,97,10,10
17588923,,,
7228772,96,10,10
15501322,,,
4624467,98,10,10
856123,100,10,10
9490490,100,9,10
865873,98,10,9
6834158,96,10,9
13846498,80,9,10
1101403,100,10,10
15566812,100,10,10
16173016,95,10,10
63405,93,9,9
16857004,,,
11011745,,,
17697262,100,10,10
13043340,96,10,10
2049672,95,9,10
16272594,97,10,9
10947787,,,
15873936,,,
11259062,99,10,10
7163038,,,
4533440,98,10,10
14011529,,,
3379430,100,10,6
8029798,80,8,7
1623609,98,10,10
16324639,90,9,9
17501306,97,10,10
591431,83,8,8
9351735,92,10,10
1962559,100,10,10
6926901,97,10,10
12366392,100,10,10
5943416,,,
1339473,91,10,9
10940485,99,10,10
10792779,93,10,9
5414237,95,10,9
6954332,95,9,10
10809367,,,
815123,100,10,10
1388523,94,10,9
765914,98,10,10
225205,94,10,10
6795192,100,10,9
5775177,100,10,10
8907289,99,10,10
13953008,98,10,10
16232349,,,
8384398,98,10,10
223213,,,
16363397,100,10,9
5468024,92,10,9
1356129,92,10,9
10710892,93,9,9
16178751,100,10,10
15097007,,,
16351934,98,10,10
8564563,96,10,10
6852699,99,10,10
6336315,,,
2074584,96,10,10
765739,100,10,10
9525911,100,10,10
11650390,100,10,10
14773204,94,10,10
5470034,83,9,9
1814061,100,10,10
2046807,89,9,9
486950,,,
592883,95,10,10
9350676,,,
1093088,96,10,10
13725185,,,
2502127,94,10,9
16231927,100,10,10
2043364,93,9,9
2010572,92,9,9
176092,98,10,10
5107706,,,
10153977,20,2,2
8105974,97,10,10
6974923,,,
9219530,93,10,9
9884258,80,8,5
7400895,98,10,10
9448855,,,
7974287,100,10,9
13622506,98,10,10
17316289,,,
58756,100,10,10
1892956,93,10,10
8973469,,,
15150231,70,7,6
3695452,100,10,10
9481209,95,10,10
13085830,80,10,8
1403992,,,
3419211,93,10,9
273452,95,9,9
5008402,96,10,10
10586068,96,10,10
13802791,97,10,10
8213336,100,10,10
2502368,100,10,10
7492644,100,10,10
3079665,95,10,10
